id,type,label,subClassOf,domain,range,@type,@container,term,comment,
,rdfs:seeAlso,,http://shexspec.github.io/spec,,,,,,,
rdf,prefix,,http://www.w3.org/1999/02/22-rdf-syntax-ns#,,,,,,,
rdfs,prefix,,http://www.w3.org/2000/01/rdf-schema#,,,,,,,
shex,prefix,,http://shexspec.github.io/ns/,,,,,,,
xsd,prefix,,http://www.w3.org/2001/XMLSchema#,,,,,,,
annotation,rdf:Property,annotation,,"EachOf,OneOf,TripleConstraint",Annotation,,,,Annotations on a TripleExpression.,
closed,rdf:Property,closed,,Shape,xsd:boolean,,,,"Indicates that a Shape is closed, meaning that it may contain no property values other than those used within TripleConstraints.",
code,rdf:Property,code,,SemAct,xsd:string,,,,Code executed by Semantic Action.,
datatype,rdf:Property,datatype,,NodeConstraint,rdfs:Datatype,,,,A datatype constraint.,
exclusion,rdf:Property,exclusion,,StemRange,"rdfs:Resource,Stem",,,,Values that are excluded from value matching.,
expression,rdf:Property,expression,,"Shape,EachOf,OneOf",TripleExpression,,,,Expression associated with the TripleExpression.,
expressions,rdf:Property,expressions,,"EachOf,OneOf",TripleExpression,,@list,,List of 2 or more expressions associated with the TripleExpression.,
extra,rdf:Property,extra,,Shape,rdfs:Resource,,,,Properties which may have extra values beyond those matched through a constraint.,
fraction digits,rdf:Property,fraction digits,numericFacet,NodeConstraint,xsd:nonNegativeInteger,,,,"for ""fractiondigits"" constraints, v is less than or equals the number of digits to the right of the decimal place in the XML Schema canonical form[xmlschema-2] of the value of n, ignoring trailing zeros.",
include,rdf:Property,include,,Inclusion,Shape,,,,Reference to a shape used to find a TripleConstraint.,
inverse,rdf:Property,inverse,,TripleConstraint,xsd:boolean,,,,"Constrains the subject of a triple, rather than the object.",
length,rdf:Property,length,stringFacet,NodeConstraint,xsd:nonNegativeInteger,,,,The exact length of the value of the cell.,
max,rdf:Property,maximum cardinality,,"EachOf,OneOf,TripleConstraint",,,,,Maximum number of times this TripleExpression may match.,
maxexclusive,rdf:Property,max exclusive,numericFacet,NodeConstraint,"xsd:integer,xsd:decimal,xsd:double",,,,An atomic property that contains a single number that is the maximum valid value (exclusive).,
maxinclusive,rdf:Property,max inclusive,numericFacet,NodeConstraint,"xsd:integer,xsd:decimal,xsd:double",,,,An atomic property that contains a single number that is the maximum valid value (inclusive).,
maxlength,rdf:Property,max length,stringFacet,NodeConstraint,xsd:nonNegativeInteger,,,,A numeric atomic property that contains a single integer that is the maximum length of the value.,
min,rdf:Property,minimum cardinatliy,,"EachOf,OneOf,TripleConstraint",xsd:nonNegativeInteger,,,,Minimum number of times this TripleExpression may match.,
minexclusive,rdf:Property,min exclusive,numericFacet,NodeConstraint,"xsd:integer,xsd:decimal,xsd:double",,,,An atomic property that contains a single number that is the minimum valid value (exclusive).,
mininclusive,rdf:Property,min inclusive,numericFacet,NodeConstraint,"xsd:integer,xsd:decimal,xsd:double",,,,An atomic property that contains a single number that is the minimum valid value (inclusive).,
minlength,rdf:Property,min length,stringFacet,NodeConstraint,xsd:nonNegativeInteger,,,,An atomic property that contains a single integer that is the minimum length of the value.,
name,rdf:Property,name,,SemAct,rdfs:Resource,,,,Identifier of SemAct extension.,
nodeKind,rdf:Property,node kind,,NodeConstraint,xsd:string,,,,"Restiction on the kind of node matched; restricted to the defined instances of NodeKind. One of “iri”, “bnode”, “literal”, or “nonliteral”.",
numericFacet,rdf:Property,,xsFacet,,,,,,Abstract property of numeric facets on a NodeConstraint.,
object,rdf:Property,object,,Annotation,rdfs:Resource,,,,The object of an Annotation.,
pattern,rdf:Property,pattern,stringFacet,NodeConstraint,xsd:string,,,,A regular expression used for matching a value.,
predicate,rdf:Property,predicate,,"Annotation,TripleConstraint",rdfs:Resource,,,,The predicate of a TripleConstraint or Annotation.,
reference,rdf:Property,reference,,ShapeRef,Shape,,,,Reference to a shape.,
semAct,rdf:Property,semantic action,,"EachOf,OneOf,TripleConstraint",SemAct,,,,Semantic Actions on this TripleExpression.,
shapes,rdf:Property,shapes,,Schema,ShapeExpression,,,,Shapes in this Schema.,
shapeExpr,rdf:Property,shape expression,,ShapeNot,ShapeExpression,,,,Shape Expression referenced by this shape.,
shapeExprs,rdf:Property,shape expressions,shapeExpr,"ShapeAnd,ShapeOr",ShapeExpression,,@list,,A list of 2 or more Shape Expressions referenced by this shape.,
start,rdf:Property,start,,Schema,ShapeExpression,,,,A ShapeExpression matched against the focus node prior to any other mapped expressions.,
startAct,rdf:Property,start actions,,Schema,SemAct,,@list,,Semantic Actions run on the Schema.,
stem,rdf:Property,stem,,"Stem,StemRange","xsd:anyUri,Wildcard",,,,A stem value used for matching or excluding values.,
stringFacet,rdf:Property,,xsFacet,,,,,,An abstract property of string facets on a NodeConstraint.,
totaldigits,rdf:Property,total digits,numericFacet,NodeConstraint,xsd:nonNegativeInteger,,,,"for ""totaldigits"" constraints, v equals the number of digits in the XML Schema canonical form[xmlschema-2] of the value of n",
value,rdf:Property,value,,NodeConstraint,"rdfs:Resource,Stem,StemRange",,,,A value restriction on a NodeConstraint.,
valueExpr,rdf:Property,value expression,,TripleConstraint,ShapeExpression,,,,A ShapeExpression used for matching the object (or subject if inverted) of a TripleConstraint.,
xsFacet,rdf:Property,,,NodeConstraint,,,,,An abstract property of string and numeric facets on a NodeConstraint.,
Annotation,rdfs:Class,Annotation,,,,,,,Annotations provide a format-independent way to provide additional information about elements in a schema. ,
EachOf,rdfs:Class,Each Of,TripleExpression,,,,,,"A TripleExpression composed of one or more sub-expressions, all of which must match.",
Inclusion,rdfs:Class,Inclusion,TripleExpression,,,,,,A TripleExpression included from a referenced ShapeExpression.,
NodeConstraint,rdfs:Class,Node Constraint,ShapeExpression,,,,,,A constraint on the type or value of an RDF Node.,
NodeKind,rdfs:Class,Node Kind,,,,,,,The set of kinds of RDF Nodes.,
OneOf,rdfs:Class,One Of,TripleExpression,,,,,,"A TripleExpression composed of one or more sub-expressions, one of which must match.",
Schema,rdfs:Class,Schema,,,,,,,"A Schema contains the set of shapes, used for matching a focus node.",
SemActs,rdfs:Class,Semantic Actions,,,,,,,"A list of Semantic Actions that serve as an extension point for Shape Expressions. They appear in lists in Schema's startActs and Shape, OneOf, EachOf and TripleConstraint's semActs.",
Shape,rdfs:Class,Shape Or,ShapeExpression,,,,,,A shapes schema is captured in a Schema object where shapes is a mapping from shape label to shape expression.,
ShapeAnd,rdfs:Class,Shape And,ShapeExpression,,,,,,"A ShapeExpression composed of one or more sub-expressions, all of which must match.",
ShapeExpression,rdfs:Class,Shape Expression,,,,,,,The abstract class of Shape Expressions.,
ShapeExternal,rdfs:Class,Shape External,ShapeExpression,,,,,,A reference to a shape defined in some external Schema.,
ShapeNot,rdfs:Class,Shape Not,ShapeExpression,,,,,,A ShapeNot is satisfied when it’s included ShapeExpression is not satisfied.,
ShapeOr,rdfs:Class,Shape Or,ShapeExpression,,,,,,"A ShapeExpression composed of one or more sub-expressions, one of which must match.",
ShapeRef,rdfs:Class,Shape Ref,ShapeExpression,,,,,,A reference to a ShapeExpression.,
Stem,rdfs:Class,Stem,,,,,,,An IRI prefix used for matching IRIs.,
StemRange,rdfs:Class,StemRange,,,,,,,"An IRI prefix (or wildcard) along with a set of excluded values, used for node matching.",
TripleConstraint,rdfs:Class,Triple Constraint,TripleExpression,,,,,,A constraint on a triple having a specific predicate and optionally a shape expression used for matching values.,
TripleExpression,rdfs:Class,Triple Expression,,,,,,,The abstract class of Triple Expressions.,
Wildcard,rdfs:Class,Wildcard,,,,,,,"Indicates that a stem is a Wildcard, rather than a URI prefix.",
annotations,term,,annotation,,,@id,,,A synonym for the annotation property.,
exclusions,term,,exclusion,,,@id,,,A synonym for the exclusion property.,
id,term,,@id,,,,,,A synonym for @id.,
type,term,,@type,,,,,,A synonym for @type.,
values,term,,value,,,@id,,,A synonym for the value property.,